Muster-ID,Typ,Anzahl Zeilen,A: Wert,B: Wert,Beispiele,ENTSCHEIDUNG,Kommentar C
PART-046,PART,1,— (leer),10247 Parkleuchte,Glühlampe für Park-/Positionsleuchte,B,
PART-047,PART,1,10240 Nebelscheinwerfer,— (leer),Nebelscheinwerfersatz,A,
PART-048,PART,1,— (leer),10163 Tankverschluss,Tankdeckelschloss,B,
PART-049,PART,1,11320 Tagfahrleuchtensatz,HG3 Karosserie,Tagfahrleuchte,A,
PART-050,PART,1,— (leer),11755 Pritschenaufbau komplett,Persening,B,
PART-051,PART,1,10206 Hauptfernscheinwerfer,HG3 Karosserie,Abbiegelicht,A,
PART-052,PART,1,— (leer),10372 Frontschürze,Abdeckung Frontschürze,B,
PART-053,PART,1,— (leer),10344 Faltdach,Dichtung für Faltdach,B,
PART-054,PART,1,10223 Kennzeichenleuchte,10260 Rückleuchte,Dichtung für Schlussleuchte,B,
PART-055,PART,1,— (leer),HG2 Motorraum,Druckschalter für Bremshydraulik,B,
PART-056,PART,1,— (leer),HG1 Unterboden,Einfüllstutzen für Kraftstoffbehälter,,
PART-057,PART,1,— (leer),11783 Reserveradhalter,Gasfeder für Reserveradhalter,B,
PART-058,PART,1,— (leer),10662 Begrenzungsleuchte,Glühlampe für Positions-/Begrenzungsleuchte,B,
PART-059,PART,1,— (leer),10207 Fernscheinwerfer,Kabelsatz für Fernscheinwerfer,B,
PART-060,PART,1,10662 Begrenzungsleuchte,10283 Standleuchte,Lichtscheibe für Positionsleuchte,A,
PART-061,PART,1,10355 Tür,10305 Zentralverriegelung,Schalter für Türverriegelung,A,
PART-062,PART,1,10355 Tür,— (leer),Türschlüssel,A,
PART-063,PART,1,— (leer),10192 Blinker,Blende Seitenblinker,B,
PART-064,PART,1,— (leer),10388 Spoiler,Motor Heckspoiler,B,
PART-065,PART,1,— (leer),10339 Ausstellscheibe,Motor Ausstellfenster,B,
PART-066,PART,1,— (leer),21019 „Dach- & Verdecksysteme“,Dachfenster,B,
