ID,Bezeichnung_DE,Synonyme_DE,Hauptgruppe_Original,Schwerpunkt,Hauptgruppe_Final,Hauptgruppe_Begründung,Parent_subClassOf_ID,Parent_partOf_ID,Begründung_optional
10319,Einlassventil,,2 Motorraum,,2 Motorraum,,,,
10320,Freilaufnabe,,1 Unterboden,,1 Unterboden,,,,
10321,Allradgetriebe,,2 Motorraum,,2 Motorraum,,,,
10322,Getriebeglocke,,2 Motorraum,,2 Motorraum,,,,
10323,Gleichlaufgelenk,Parallelgelenk,1 Unterboden,,1 Unterboden,,30000,,
10324,Hinterachsgetriebe,Differenzial (hinten); Ausgleichsgetriebe (hinten),1 Unterboden,,1 Unterboden,,,,
10325,Kardanwelle,,1 Unterboden,,1 Unterboden,,,,
10326,Kurbelwelle,,2 Motorraum,,2 Motorraum,,,,
10327,Motor ohne Anbauteile,Motor komplett,2 Motorraum,,2 Motorraum,,,,
10328,Motorblock,,2 Motorraum,,2 Motorraum,,,,
10329,Radnabe,,1 Unterboden,,1 Unterboden,,30000,,
10330,Schaltgetriebe,Getriebe,2 Motorraum,,2 Motorraum,,,,
10331,Schwungrad,,2 Motorraum,,2 Motorraum,,,,
10332,Stirndeckel (Motor),,2 Motorraum,,2 Motorraum,,,,
10333,Vorderachsgetriebe,Differenzial (vorne); Ausgleichsgetriebe (vorne),1 Unterboden,,1 Unterboden,,,,
10334,Zahnriemen,,2 Motorraum,,2 Motorraum,,,,
10335,Zylinderkopf,,2 Motorraum,,2 Motorraum,,,,
10336,Zylinderkopfdichtung,,2 Motorraum,,2 Motorraum,,,,
10337,Abschlussblech,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20011,,
10338,Auspuffblende,,3 Karosserie,Karosserie (Pflicht),1 Unterboden,Gehört zu Auspuffanlage,,,
10339,Ausstellscheibe,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20011,,
10340,Dach Cabrio,Hardtop; Faltdach; Cabrioverdeck,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20005,,
10341,Dach mit Sonnendachausschnitt,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20005,,
10342,Dach Targa,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20005,,
10343,Dreieckscheibe,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,,
10344,Faltdach,Verdeck,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20005,,
10345,Frontblech,Schlossträger; Frontschürze,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20002,,
10346,Frontscheibe ohne Bandfilter,Windschutzscheibe; Sichtfenster,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20001,,
10347,Heckklappe / Heckdeckel,Heckdeckel; Rückwandklappe; Klappe Hinten; Kofferraumhaube,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20014,,
10348,Heckscheibe,Rückblickscheibe; Sichtfenster,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20011,,
10349,Hecktür,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20014,,
10350,Kotflügel mit Blinker mit Antennenloch,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20001,,
10351,Motorhaube,Haube; Klappe vorn; Verschlussdeckel,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20001,,
10352,Schiebetür,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20009,,
10353,Seitenscheibe,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20011,,
10354,Seitenscheibe Schiebetür,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20009,10352,Parent part auch 10556
10355,Tür,Door,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20009,,
10356,Türscheibe,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20009,10355,
10357,Vorbau ohne Stirnwand,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20002,,
10358,Abdeckung Abschlepphaken,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,,
10359,Abdeckung Außenspiegel,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20005,10609,"Parent Part auch 10584-10586, 10602-10605"
10360,Abschleppöse,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,,
10361,Anhängerkupplung mit E-Satz abnehmbar,Anhängerkupplung,3 Karosserie,Karosserie (Pflicht),5 Sonstige,Klassisches Zubehörteil,20011,,
10362,Außenspiegel elektrisch lackiert,Rückblickspiegel; Seitenspiegel; Außenspiegel,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20005,10609,
10363,Außenspiegelgehäuse,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20005,10609,"Parent Part auch 10584-10586, 10602-10605"
10364,Außenspiegelglas,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20005,10609,"Parent Part auch 10584-10586, 10602-10605"
10365,Blende Kotflügel,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20001,10610,"Parent Part no ist auch 10350, 10567-10569"
10366,Blende Kühlergrill,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20001,10379,
10367,Blende Nebelscheinwerfer,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20003,10240,
10368,Blende Scheinwerfer,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20003,,
10369,Blende Stoßstange,Abdeckung Stoßfänger; Abdeckung Stossstange; Blende Stoßfänger; Gril Stoßfänger; Grill Stoßstange,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20000,10570,"Parent Part no ist auch 10571-10580, 10611"
10370,Dachreling,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20005,,
10371,Dachzierleiste,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20005,,
10372,Frontschürze,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20001,,
10373,Frontverkleidung,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20001,,
10374,Gepäckträger,Dachgepäckträger; Heckgepäckträger,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,,
10375,Grill Windlauf,Windlaufgriff,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20000,,
10376,Heckblende,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20011,,
10377,Heckklappendämpfer,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20014,,
10378,Kotflügelverbreiterung,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20001,10610,"Parent Part no ist auch 10350, 10567-10569"
10379,Kühlergrill,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20000,,
10380,Kühlergrillrahmen,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20000,10379,
10381,Radabdeckung,,3 Karosserie,Karosserie (Pflicht),1 Unterboden,Räder ordnet man sinnvollerweise dem Fahrwerk / Unterboden zu,30000,,
10382,Schürze,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20001,,
10383,Schutzleiste Kotflügel,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20001,10610,"Parent Part no ist auch 10350, 10567-10569"
10384,Schutzleiste Seitenwand,Zierleiste; Türleiste; Zierstreifen,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20011,,
10385,Schutzleiste Tür,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20009,10352,"Parent part auch 10556,10557"
10386,Schwellerleisten,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20005,,
10387,Sonnendach,Sonnenschiebedach,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20005,,
10388,Spoiler,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,,
10389,Steinschlagschutz,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,,
10390,Steinschlagschutz Stoßstange,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20000,10570,"Parent Part no ist auch 10571-10580, 10611"
10391,Stoßstange Grundausführung für Kunststoff SW/Grau mit Nebelscheinwerfer mit Spoiler,Stoßfänger,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20000,,
10392,Stoßstangenabdeckung,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20000,10570,"Parent Part no ist auch 10571-10580, 10611"
10393,Stoßstangenbefestigung,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20000,10570,"Parent Part no ist auch 10571-10580, 10611"
10394,Stoßstangenecke,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20000,10570,"Parent Part no ist auch 10571-10580, 10611"
10395,Stoßstangenhalter,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20000,10570,"Parent Part no ist auch 10571-10580, 10611"
10396,Stoßstangenträger,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20000,,
10397,Türgriff,Türöffner,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20009,10355,
10398,Türgummi,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20009,10355,
10399,Türrahmen,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20009,10355,
10400,Verkleidung Innenkotflügel,Radhausschale,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20001,,
10401,Verkleidung Scheinwerfer,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20003,,
10402,Windabweiser Dach,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20005,,
10403,Windabweiser Fenster,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20009,,
10404,Windlauf,Windlauf vorne geschraubt,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20001,,
10405,Ziergitter,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20001,,
10406,Zierleiste,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,,
10407,Abdeckung Kofferraum,Abdeckplatte Laderaum,4 Innenraum,,4 Innenraum,,,,
10408,Abdeckung Reserverad,,4 Innenraum,,4 Innenraum,,,,
10409,Abdeckung Rückwand,,4 Innenraum,,4 Innenraum,,,,
10410,Abdeckung Tür,,4 Innenraum,,4 Innenraum,,,,
10411,Ablagekasten,,4 Innenraum,,4 Innenraum,,,,
10412,Armaturenbrett mit Navi mit CD,Armaturentafel; Schalttafel; Instrumententafel,4 Innenraum,,4 Innenraum,,,,
10413,Armlehne,,4 Innenraum,,4 Innenraum,,,,
10414,Aschenbecher,,4 Innenraum,,4 Innenraum,,,,
10415,Blende Handschuhkasten,,4 Innenraum,,4 Innenraum,,,,
10416,Blende Instrumententafel,,4 Innenraum,,4 Innenraum,,,,
10417,Blende Schalttafel,,4 Innenraum,,4 Innenraum,,,,
10418,Blende Tür,,4 Innenraum,,4 Innenraum,,,,
10419,Bodenbelag,,4 Innenraum,,4 Innenraum,,,,
10420,Bodenbelag Kofferraum,,4 Innenraum,,4 Innenraum,,,,
10421,Fensterkurbel,Griffkurbel; Drehkurbel; Drehgriff,4 Innenraum,,4 Innenraum,,,,
10422,Fußmatte,,4 Innenraum,,4 Innenraum,,,,
10423,Griff Klappenzug,Klappenzuggriff,4 Innenraum,,4 Innenraum,,,,
10424,Griff Panoramadach,Panoramadachdriff,4 Innenraum,,4 Innenraum,,,,
10425,Griffschale,,4 Innenraum,,4 Innenraum,,,,
10426,Haltegriff,,4 Innenraum,,4 Innenraum,,,,
10427,Handschuhfach,,4 Innenraum,,4 Innenraum,,,,
10428,Handschuhfach Deckel,,4 Innenraum,,4 Innenraum,,,,
10429,Heizung,,4 Innenraum,,4 Innenraum,,,,
10430,Heizungskanal,,4 Innenraum,,4 Innenraum,,,,
10431,Himmel,,4 Innenraum,,4 Innenraum,,,,
10432,Hutablage,Ablage Heckdeckel; Ablage Heckklappe; Ablage Laderaum,4 Innenraum,,4 Innenraum,,,,
10433,Innenausstattung,,4 Innenraum,,4 Innenraum,,,,
10434,Innenspiegel,Rückspiegel; Rückblickspiegel,4 Innenraum,,4 Innenraum,,,,
10435,Konsole Ablagefach,,4 Innenraum,,4 Innenraum,,,,
10436,Konsole Einsatz,,4 Innenraum,,4 Innenraum,,,,
10437,Kopfstütze,,4 Innenraum,,4 Innenraum,,,,
10438,Laderaumabdeckung,Laderaumabdeckung Kombi,4 Innenraum,,4 Innenraum,,,,
10439,Lautsprecherblende,,4 Innenraum,,4 Innenraum,,,,
10440,Lautsprecherblendeablage,,4 Innenraum,,4 Innenraum,,,,
10441,Lenkrad,Sportlenkrad; Steuer; Volant,4 Innenraum,,4 Innenraum,,30000,,
10442,Manschette für Schalthebel,Schalthebelmanschette; Schaltsack; Schalthebelsack,4 Innenraum,,4 Innenraum,,,,
10443,Mittelkonsole,,4 Innenraum,,4 Innenraum,,,,
10444,Rücksitzbank,Rücksitzbankpolster,4 Innenraum,,4 Innenraum,,,,
10445,Schalthebelknopf,Knopf Schalthebel; Schaltregler,4 Innenraum,,4 Innenraum,,,,
10446,Schaltkulisse,Deckel; Schaltanordnung,4 Innenraum,,4 Innenraum,,,,
10447,Schalttafeleinsatz,,4 Innenraum,,4 Innenraum,,,,
10448,Schalttafelleiste,,4 Innenraum,,4 Innenraum,,,,
10449,Sitz,Sitzschale; Einzelsitz,4 Innenraum,,4 Innenraum,,,,
10450,Sonnenblende,Sichtschutz,4 Innenraum,,4 Innenraum,,,,
10451,Türverkleidung,,4 Innenraum,,4 Innenraum,,,,
10452,Verkleidung Armaturenbrett,,4 Innenraum,,4 Innenraum,,,,
10453,Verkleidung A-Säule,Abdeckung A-Säule,4 Innenraum,,4 Innenraum,,,,
10454,Verkleidung B-Säule,Abdeckung A-Säule,4 Innenraum,,4 Innenraum,,,,
10455,Verkleidung C-Säule,Abdeckung A-Säule,4 Innenraum,,4 Innenraum,,,,
10456,Verkleidung Heckklappe,Verkleidung Rückwandklappe,4 Innenraum,,4 Innenraum,,,,
10457,Verkleidung Hutablage,,4 Innenraum,,4 Innenraum,,,,
10458,Verkleidung Rückwand,,4 Innenraum,,4 Innenraum,,,,
10459,Achse,,1 Unterboden,,1 Unterboden,,30000,,
10460,Achsschenkel,Radlagergehaeuse; Schwenklager; Radlagergehäuse,1 Unterboden,,1 Unterboden,,30000,,
10461,Achszapfen,,1 Unterboden,,1 Unterboden,,30000,,
10462,Feder,Vorderfeder; Schraubenfeder,1 Unterboden,,1 Unterboden,,30000,,
10463,Federbein,,1 Unterboden,,1 Unterboden,,30000,,
10464,Federblatt,,1 Unterboden,,1 Unterboden,,30000,,
10465,Federsatz,,1 Unterboden,,1 Unterboden,,30000,,
10466,Gasdruckfeder,,1 Unterboden,,1 Unterboden,,30000,,
10467,Hinterachshälfte,,1 Unterboden,,1 Unterboden,,30000,,
10468,Hinterachskörper,,1 Unterboden,,1 Unterboden,,30000,,
10469,Querlenker,Lenker für Radaufhängung,1 Unterboden,,1 Unterboden,,30000,,
10470,Radlager,Reparatursatz Radlager,1 Unterboden,,1 Unterboden,,30000,10471,
10471,Radlagergehäuse,,1 Unterboden,,1 Unterboden,,30000,,
10472,Spurstange,,1 Unterboden,,1 Unterboden,,30000,,
10473,Spurstangenkopf,,1 Unterboden,,1 Unterboden,,30000,10472,
10474,Stabilisator,,1 Unterboden,,1 Unterboden,,30000,,
10475,Stoßdämpfer,,1 Unterboden,,1 Unterboden,,30000,,
10476,Achsmanschette,Gelenkschutzhülle; Manschette; Achsstulpen,1 Unterboden,,1 Unterboden,,,,
10477,Batterie,Accu; Akku; Akkumulator,2 Motorraum,,2 Motorraum,,,,
10478,Bremsaggregat ABS,ABS Hydroaggregat,2 Motorraum,,2 Motorraum,,20031,,
10479,Bremsbelag SB,,1 Unterboden,,1 Unterboden,,20031,11165,
10480,Bremskraftregler,,2 Motorraum,,2 Motorraum,,20031,,
10481,Bremskraftverstärker,Bremsverstärker,2 Motorraum,,2 Motorraum,,20031,,
10482,Bremssättel Satz,,1 Unterboden,,1 Unterboden,,20031,,
10483,Bremssattel,Bremssattelgehäuse,1 Unterboden,,1 Unterboden,,20031,10482,
10484,Bremssattelträger,,1 Unterboden,,1 Unterboden,,20031,,
10485,Bremsscheibe,,1 Unterboden,,1 Unterboden,,20031,11964,
10486,Bremsschlauch,,1 Unterboden,,1 Unterboden,,20031,,
10487,Bremsträger,Halter Bremssattel,1 Unterboden,,1 Unterboden,,20031,,
10488,Bremstrommel,,1 Unterboden,,1 Unterboden,,20031,,
10489,Dichtung für Frontscheibe,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20001,,
10490,Dichtung für Motorhaube,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20002,,
10491,Dichtung für Getriebedeckel,,2 Motorraum,,2 Motorraum,,,,
10492,Dichtung für Heckscheibe,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20011,,
10493,Dichtung für Ventildeckel,,2 Motorraum,,2 Motorraum,,,,
10494,Dichtung für Zylinderkopf,,2 Motorraum,,2 Motorraum,,,,
10495,Dichtungssatz für Zylinderblock,,2 Motorraum,,2 Motorraum,,,,
10496,Dichtungssatz für Zylinderkopf,,2 Motorraum,,2 Motorraum,,,,
10497,Emblem,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,,
10498,Felge Stahl,Scheibenrad; Laufrad; Radkranz,3 Karosserie,Karosserie (Pflicht),1 Unterboden,Räder ordnet man sinnvollerweise dem Fahrwerk / Unterboden zu,30000,11261,
10499,Gurtstraffer,,4 Innenraum,,4 Innenraum,,20021,,
10500,Handbremshebel,Handbremsgriff,4 Innenraum,,4 Innenraum,,20031,,
10501,Handbremsseil,Bremszug,1 Unterboden,,1 Unterboden,,20031,,
10502,Hauptbremszylinder,Tandem HBZ,2 Motorraum,,2 Motorraum,,20031,,
10503,Kraftstofffilter,,2 Motorraum,,2 Motorraum,,,,
10504,Lenkgetriebe,Zahnstangenlenkung; Steuergetriebe,2 Motorraum,,2 Motorraum,,30000,,
10505,Lenkgetriebe Servo,Servolenkung; hydraulische Lenkung,2 Motorraum,,2 Motorraum,,30000,,
10506,Lenksäule,,4 Innenraum,,4 Innenraum,,30000,,
10507,Lenkspindel,,2 Motorraum,,2 Motorraum,,30000,,
10508,Lenkstange,,2 Motorraum,,2 Motorraum,,30000,,
10509,Lenkungsdämpfer,,2 Motorraum,,2 Motorraum,,30000,,
10510,Lenkzwischenhebel,,2 Motorraum,,2 Motorraum,,30000,,
10511,Lenkzwischenwelle,,2 Motorraum,,2 Motorraum,,30000,,
10512,Luftfiltereinsatz,Filtereinsatz; Luftfilter; Innenraumfilter/Pollenfilter,2 Motorraum,,2 Motorraum,,,,
10513,Notrad,Reserverad,4 Innenraum,,4 Innenraum,,,,
10514,Ölwannendichtung,,2 Motorraum,,2 Motorraum,,,,
10515,Pleuellagerschalen,,2 Motorraum,,2 Motorraum,,,,
10516,Radbremszylinder,Radzylinder,1 Unterboden,,1 Unterboden,,20031,,
10517,Reifen,Pneu; Bereifung ohne Felge,3 Karosserie,Karosserie (Pflicht),1 Unterboden,Räder ordnet man sinnvollerweise dem Fahrwerk / Unterboden zu,30000,11261,
10518,Reifen auf Alufelge,,3 Karosserie,Karosserie (Pflicht),1 Unterboden,Räder ordnet man sinnvollerweise dem Fahrwerk / Unterboden zu,30000,11261,
10519,Reifen auf Stahlfelge,,3 Karosserie,Karosserie (Pflicht),1 Unterboden,Räder ordnet man sinnvollerweise dem Fahrwerk / Unterboden zu,30000,11261,
10520,Schneeketten,,3 Karosserie,Karosserie (Pflicht),1 Unterboden,,,,
10521,Sicherheitsgurt,Hüftgurt; Dreipunktgurt; Zweipunktgurt,4 Innenraum,,4 Innenraum,,20021,,
10522,Skisack,,4 Innenraum,,4 Innenraum,,,,
10523,Türdichtung,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20009,10355,
10524,Ventildeckeldichtung,,2 Motorraum,,2 Motorraum,,,,
10525,Wagenheber,,5 Sonstige,,5 Sonstige,,,,
10526,Warndreieck,,5 Sonstige,,5 Sonstige,,,,
10527,Werkzeugkasten,,5 Sonstige,,5 Sonstige,,,,
10528,Wischerblatt,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,,
10529,Zündkerze,,2 Motorraum,,2 Motorraum,,,,
10530,Hauptscheinwerfer höhenverstellbar,Scheinwerfer höhenverstellbar; Doppelscheinwerfer KPL,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20003,,
10531,Hauptscheinwerfer nicht höhenverstellbar,Scheinwerfer nicht höhenverstellbar; Doppelscheinwerfer KPL,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20003,,
10532,Hecktür (1-türig) mit Fensterausschnitt,Hecktür 1-türig mit Fensterausschnitt,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20014,,
10533,Hecktür (1-türig) geschlossen,Hecktür 1-türig geschlossen,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20014,,
10534,Hecktür (2-türig) mit Fensterausschnitt,Hecktür 2-türig mit Fensterausschnitt,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20014,,
10535,Hecktür (2-türig) geschlossen,Hecktür 2-türig geschlossen,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20014,,
10536,Vordersitz Leder nicht klappbar mit Airbag,Sitzschale Leder nicht klappbar,4 Innenraum,,4 Innenraum,,20020,,
10537,Vordersitz Kunstleder nicht klappbar mit Airbag,Sitzschale Kunstleder nicht klappbar,4 Innenraum,,4 Innenraum,,20020,,
10538,Vordersitz Stoff nicht klappbar mit Airbag,Sitzschale Stoff nicht klappbar,4 Innenraum,,4 Innenraum,,20020,,
10539,Vordersitz Leder klappbar mit Airbag,Sitzschale Leder klappbar,4 Innenraum,,4 Innenraum,,20020,,
10540,Vordersitz Kunstleder klappbar mit Airbag,Sitzschale Kunstleder klappbar,4 Innenraum,,4 Innenraum,,20020,,
10541,Vordersitz Stoff klappbar mit Airbag,Sitzschale Stoff klappbar,4 Innenraum,,4 Innenraum,,20020,,
10542,Rücksitzbank Leder geteilt,Rücksitz Rückbank,4 Innenraum,,4 Innenraum,,,,
10543,Rücksitzbank Kunstleder geteilt,Rücksitz Rückbank,4 Innenraum,,4 Innenraum,,,,
10544,Rücksitzbank Stoff geteilt,Rücksitz Rückbank,4 Innenraum,,4 Innenraum,,,,
10545,Rücksitzbank Leder nicht geteilt,Rücksitz Rückbank,4 Innenraum,,4 Innenraum,,,,
10546,Rücksitzbank Kunstleder nicht geteilt,Rücksitz Rückbank,4 Innenraum,,4 Innenraum,,,,
10547,Rücksitzbank Stoff nicht geteilt,Rücksitz Rückbank,4 Innenraum,,4 Innenraum,,,,
10548,Sitzgarnitur komplett Leder geteilt,,4 Innenraum,,4 Innenraum,,,,
10549,Sitzgarnitur komplett Kunstleder geteilt,,4 Innenraum,,4 Innenraum,,,,
10550,Sitzgarnitur komplett Stoff geteilt,,4 Innenraum,,4 Innenraum,,,,
10551,Sitzgarnitur komplett Leder geteilt,,4 Innenraum,,4 Innenraum,,,,
10552,Sitzgarnitur komplett Kunstleder nicht geteilt,,4 Innenraum,,4 Innenraum,,,,
10553,Sitzgarnitur komplett Stoff nicht geteilt,,4 Innenraum,,4 Innenraum,,,,
10554,Heckklappe mit Fensterausschnitt,Heckdeckel; Rueckwandklappe; Klappe hinten; Rückwandklappe; Kofferraumhaube,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20014,,
10555,Heckklappe geschlossen,Heckdeckel; Rueckwandklappe; Klappe hinten; Rückwandklappe; Kofferraumhaube,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20014,,
10556,Schiebetür mit Fensterausschnitt,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20009,,
10557,Schiebetür geschlossen,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20009,,
10560,Ausgleichsbehälter,,2 Motorraum,,2 Motorraum,,,,
10561,Bremsleuchte,Bremslicht,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20013,,
10562,E-Satz (Anhängerkupplung),E-Satz Anhängerkupplung,3 Karosserie,Karosserie (Pflicht),5 Sonstige,Klassisches Zubehörteil,20011,10593,Parent Part no ist auch 10361
10563,Katalysator ohne Lambdasonde,Abgasfilter; Schadstoffreduzierstueck; Schadstoffreduzierstück; Kat,1 Unterboden,,1 Unterboden,,,,
10564,Frontscheibe mit grünem Bandfilter,Windschutzscheibe; Sichtfenster,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20001,,
10565,Frontscheibe mit blauem Bandfilter,Windschutzscheibe; Sichtfenster,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20001,,
10566,Frontscheibe mit brozenem Bandfilter,Windschutzscheibe; Sichtfenster,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20001,,
10567,Kotflügel ohne Blinker mit Antennenloch,Kotflügel,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20001,,
10568,Kotflügel mit Blinker ohne Antennenloch,Kotflügel,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20001,,
10569,Kotflügel ohne Blinker ohne Antennenloch,Kotflügel,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20001,,
10570,Stoßstange Grundausführung für Kunststoff SW/grau mit Nebelscheinwerfer ohne Spoiler,Stoßfänger; Verkleidung Stossfaenger; Verkleidung Stoßfänger; Stoßstange,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20000,,
10571,Stoßstange Grundausführung für Kunststoff SW/grau ohne Nebelscheinwerfer mit Spoiler,Stoßfänger; Verkleidung Stossfaenger; Verkleidung Stoßfänger; Stoßstange,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20000,,
10572,Stoßstange Grundausführung für Kunststoff SW/grau ohne Nebelscheinwerfer ohne Spoiler,Stoßfänger; Verkleidung Stossfaenger; Verkleidung Stoßfänger; Stoßstange,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20000,,
10573,Stoßstange teilgrundiert mit Nebelscheinwerfer mit Spoiler,Stoßfänger; Verkleidung Stossfaenger; Verkleidung Stoßfänger; Stoßstange,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20000,,
10574,Stoßstange teilgrundiert mit Nebelscheinwerfer ohne Spoiler,Stoßfänger; Verkleidung Stossfaenger; Verkleidung Stoßfänger; Stoßstange,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20000,,
10575,Stoßstange teilgrundiert ohne Nebelscheinwerfer mit Spoiler,Stoßfänger; Verkleidung Stossfaenger; Verkleidung Stoßfänger; Stoßstange,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20000,,
10576,Stoßstange teilgrundiert ohne Nebelscheinwerfer ohne Spoiler,Stoßfänger; Verkleidung Stossfaenger; Verkleidung Stoßfänger; Stoßstange,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20000,,
10577,Stoßstange teillackiert mit Nebelscheinwerfer mit Spoiler,Stoßfänger; Verkleidung Stossfaenger; Verkleidung Stoßfänger; Stoßstange,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20000,,
10578,Stoßstange teillackiert mit Nebelscheinwerfer ohne Spoiler,Stoßfänger; Verkleidung Stossfaenger; Verkleidung Stoßfänger; Stoßstange,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20000,,
10579,Stoßstange teillackiert ohne Nebelscheinwerfer mit Spoiler,Stoßfänger; Verkleidung Stossfaenger; Verkleidung Stoßfänger; Stoßstange,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20000,,
10580,Stoßstange teillackiert ohne Nebelscheinwerfer ohne Spoiler,Stoßfänger; Verkleidung Stossfaenger; Verkleidung Stoßfänger; Stoßstange,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20000,,
10581,Armaturenbrett mit Navi ohne CD,Armaturentafel; Schalttafel; Instrumententafel,4 Innenraum,,4 Innenraum,,,,
